date,produit,categorie,prix,quantite,ville,mode_paiement,vendeur,chiffre_affaires
2024-03-24,Machine à laver 7kg,Électroménager,194548.0,1.0,Dakar,Orange Money,V001,194548.0
2024-04-11,Dattes 1kg,Alimentation,3328.0,3.0,Thiès,Orange Money,V038,9984.0
2024-06-07,Sucre cristallisé 50kg,Alimentation,29266.0,3.0,Dakar,Orange Money,V027,87798.0
2024-09-19,Sable 1m³,Construction,27733.0,1.0,Kaolack,Free Money,V044,27733.0
2024-11-21,Dattes 1kg,Alimentation,3112.0,1.0,Dakar,Orange Money,V033,3112.0
2024-07-26,Tecno Spark 40 5G,Électronique,91132.0,1.0,Dakar,Orange Money,V030,91132.0
2024-06-03,Dentelle Guipure 5 yards,Textile,26232.0,1.0,Thiès,Wave,V040,26232.0
2024-08-04,Farine blé 50kg,Alimentation,28013.0,2.0,Thiès,Orange Money,V007,56026.0
2024-11-07,Farine blé 50kg,Alimentation,26669.0,3.0,Thiès,Orange Money,V027,80007.0
2024-05-21,Parfum femme 100ml,Cosmétiques,24514.0,1.0,Dakar,Wizall,V004,24514.0
2024-01-28,Powerbank 10000mAh,Électronique,10917.0,1.0,Thiès,Wave,V017,10917.0
2024-06-15,Lait en poudre 1kg,Alimentation,4835.0,1.0,Thiès,Orange Money,V045,4835.0
2024-04-28,Riz parfumé 50kg,Alimentation,29876.0,2.0,Dakar,Orange Money,V012,59752.0
2024-07-01,Infinix Note 50 Pro,Électronique,148606.0,1.0,Ziguinchor,Orange Money,V028,148606.0
2024-03-14,Écouteurs Bluetooth,Électronique,15200.0,1.0,Dakar,Espèces,V026,15200.0
2024-03-15,Tecno Spark 40 5G,Électronique,99660.0,1.0,Kaolack,Orange Money,V041,99660.0
2024-08-13,Crème éclaircissante 500ml,Cosmétiques,9557.0,1.0,Dakar,Wave,V048,9557.0
2024-07-17,Farine blé 50kg,Alimentation,26972.0,1.0,Thiès,Free Money,V025,26972.0
2024-01-08,Sable 1m³,Construction,27273.0,2.0,Dakar,Orange Money,V037,54546.0
2024-05-14,Fenêtre aluminium,Construction,49090.0,1.0,Dakar,Espèces,V028,49090.0
2024-09-02,Gravier 1m³,Construction,30763.0,1.0,Dakar,Wave,V039,30763.0
2024-04-03,Infinix Note 50 Pro,Électronique,148535.0,1.0,Ziguinchor,Orange Money,V021,148535.0
2024-09-05,Pagne Kenté 6 yards,Textile,21810.0,4.0,Kaolack,Wave,V027,87240.0
2024-01-01,Parfum femme 100ml,Cosmétiques,21442.0,1.0,Dakar,Espèces,V017,21442.0
2024-08-22,Thé Lipton 200g,Alimentation,1712.0,3.0,Dakar,Orange Money,V048,5136.0
2024-10-18,Congélateur 200L,Électroménager,254950.0,1.0,Dakar,Orange Money,V028,254950.0
2024-01-28,Moussor femme,Textile,14142.0,1.0,Thiès,Wave,V019,14142.0
2024-10-27,Crème éclaircissante 500ml,Cosmétiques,8352.0,1.0,Thiès,Orange Money,V005,8352.0
2024-05-22,Dattes 1kg,Alimentation,3016.0,2.0,Saint-Louis,Free Money,V006,6032.0
2024-04-28,Carrelage m²,Construction,7578.0,3.0,Dakar,Orange Money,V034,22734.0
2024-10-04,Sucre cristallisé 50kg,Alimentation,30877.0,5.0,Ziguinchor,Wizall,V009,154385.0
2024-03-21,Huile palme 20L,Alimentation,16408.0,3.0,Saint-Louis,Orange Money,V020,49224.0
2024-10-20,Ciment 50kg,Construction,4343.0,3.0,Saint-Louis,Wizall,V038,13029.0
2024-08-22,"Téléviseur LED 32""",Électronique,127042.0,1.0,Ziguinchor,Wave,V002,127042.0
2024-12-02,Carrelage m²,Construction,8350.0,2.0,Thiès,Wave,V016,16700.0
2024-04-23,Riz brisé 50kg,Alimentation,25394.0,2.0,Saint-Louis,Wizall,V003,50788.0
2024-06-03,Fer à béton 12mm,Construction,539.0,346.0,Thiès,Wave,V008,186494.0
2024-01-16,iPhone 12,Électronique,437783.0,1.0,Dakar,Orange Money,V025,437783.0
2024-08-21,Gravier 1m³,Construction,26812.0,1.0,Dakar,Espèces,V010,26812.0
2024-10-16,Samsung Galaxy A25,Électronique,118177.0,1.0,Dakar,Orange Money,V016,118177.0
2024-06-04,Huile d'argan 100ml,Cosmétiques,12253.0,1.0,Saint-Louis,Wizall,V015,12253.0
2024-09-17,Congélateur 200L,Électroménager,233999.0,1.0,Saint-Louis,Wave,V025,233999.0
2024-10-23,Pagne Kenté 6 yards,Textile,23257.0,3.0,Saint-Louis,Orange Money,V003,69771.0
2024-06-17,Ciment 50kg,Construction,4548.0,1.0,Saint-Louis,Orange Money,V016,4548.0
2024-05-23,Pagne Kenté 6 yards,Textile,20428.0,1.0,Dakar,Free Money,V015,20428.0
2024-07-04,Pagne Kenté 6 yards,Textile,22840.0,1.0,Kaolack,Espèces,V022,22840.0
2024-03-25,Parfum femme 100ml,Cosmétiques,29940.0,-1.0,Dakar,Wave,V014,59880.0
2024-12-27,Voile hijab,Textile,2946.0,1.0,Dakar,Orange Money,V039,2946.0
2024-08-21,Machine à laver 7kg,Électroménager,194276.0,1.0,Thiès,Wave,V042,194276.0
2024-06-28,Chargeur rapide,Électronique,8752.0,1.0,Thiès,Carte bancaire,V002,8752.0
2024-04-25,Pagne Kenté 6 yards,Textile,24077.0,2.0,Thiès,Orange Money,V008,48154.0
2024-06-17,Gravier 1m³,Construction,26660.0,1.0,Dakar,Free Money,V047,26660.0
2024-11-04,Mixeur,Électroménager,26104.0,1.0,Saint-Louis,Free Money,V040,26104.0
2024-01-28,Sarouel coton,Textile,11855.0,2.0,Dakar,Free Money,V043,23710.0
2024-07-03,Micro-ondes 20L,Électroménager,60060.0,1.0,Kaolack,Orange Money,V029,60060.0
2024-09-11,Tissu Wax 6 yards,Textile,18732.0,2.0,Kaolack,Free Money,V043,37464.0
2024-11-03,Clé USB 32GB,Électronique,4617.0,1.0,Dakar,Orange Money,V039,4617.0
2024-08-12,Tecno Spark 40 5G,Électronique,100580.0,1.0,Saint-Louis,Orange Money,V001,100580.0
2024-07-04,Parfum homme 100ml,Cosmétiques,23363.0,1.0,Dakar,Wave,V016,23363.0
2024-07-07,Fenêtre aluminium,Construction,42111.0,1.0,Thiès,Orange Money,V011,42111.0
2024-02-06,Riz brisé 50kg,Alimentation,25523.0,5.0,Dakar,Orange Money,V019,127615.0
2024-03-25,Crème éclaircissante 500ml,Cosmétiques,9205.0,1.0,Thiès,Espèces,V018,9205.0
2024-02-14,Tecno Spark 40 5G,Électronique,87132.0,1.0,Thiès,Orange Money,V021,87132.0
2024-06-02,Pagne Kenté 6 yards,Textile,22592.0,1.0,Thiès,Orange Money,V031,22592.0
2024-07-13,Réfrigérateur 180L,Électroménager,278188.0,1.0,Dakar,Wave,V001,278188.0
2024-05-17,Huile palme 20L,Alimentation,18660.0,1.0,Saint-Louis,Espèces,V046,18660.0
2024-03-26,Dentelle Guipure 5 yards,Textile,27535.0,3.0,Ziguinchor,Wave,V028,82605.0
2024-11-05,Savon noir Dudu Osun,Cosmétiques,1327.0,2.0,Kaolack,Orange Money,V018,2654.0
2024-07-18,Crème éclaircissante 500ml,Cosmétiques,7501.0,1.0,Dakar,Wave,V008,7501.0
2024-07-11,Dattes 1kg,Alimentation,2724.0,2.0,Ziguinchor,Espèces,V034,5448.0
2024-01-25,Machine à laver 7kg,Électroménager,186637.0,1.0,Dakar,Wave,V029,186637.0
2024-10-30,Briques creuses (unité),Construction,197.0,33.0,Thiès,Espèces,V044,6501.0
2024-10-21,Mixeur,Électroménager,24320.0,1.0,Kaolack,Wizall,V028,24320.0
2024-02-04,Café Touba 500g,Alimentation,2457.0,1.0,Dakar,Wizall,V032,2457.0
2024-08-30,Tôles ondulées (unité),Construction,11152.0,3.0,Thiès,Wave,V034,33456.0
2024-02-19,Savon noir Dudu Osun,Cosmétiques,1619.0,1.0,Kaolack,Orange Money,V005,1619.0
2024-08-04,Huawei Nova 13,Électronique,170266.0,2.0,Dakar,Free Money,V038,340532.0
2024-08-14,Samsung Galaxy A25,Électronique,123545.0,1.0,Dakar,Free Money,V047,123545.0
2024-07-09,Maquillage palette,Cosmétiques,17402.0,1.0,Thiès,Espèces,V008,17402.0
2024-04-18,Fer à repasser,Électroménager,16247.0,1.0,Dakar,Wave,V044,16247.0
2024-04-19,Lait en poudre 1kg,Alimentation,4890.0,2.0,Ziguinchor,Orange Money,V036,9780.0
2024-02-25,Dentelle Guipure 5 yards,Textile,24763.0,1.0,Kaolack,Orange Money,V004,24763.0
2024-05-01,Sarouel coton,Textile,12831.0,2.0,Dakar,Wave,V039,25662.0
2024-12-25,"Téléviseur LED 32""",Électronique,131790.0,1.0,Dakar,Orange Money,V014,131790.0
2024-07-13,Clé USB 32GB,Électronique,5160.0,1.0,Kaolack,Orange Money,V020,5160.0
2024-12-30,"Téléviseur LED 32""",Électronique,125626.0,1.0,Dakar,Wave,V004,125626.0
2024-06-09,Dattes 1kg,Alimentation,3091.0,10.0,Thiès,Orange Money,V032,30910.0
2024-06-27,Porte métallique,Construction,79819.0,5.0,Kaolack,Espèces,V016,399095.0
2024-10-10,Tissu Wax 6 yards,Textile,16040.0,3.0,Dakar,Espèces,V046,48120.0
2024-07-14,Dentelle Guipure 5 yards,Textile,25850.0,1.0,Saint-Louis,Wave,V009,25850.0
2024-12-16,Dattes 1kg,Alimentation,2574.0,10.0,Saint-Louis,Orange Money,V009,25740.0
2024-12-23,Lait en poudre 1kg,Alimentation,4135.0,2.0,Dakar,Free Money,V008,8270.0
2024-02-01,Huile palme 20L,Alimentation,17003.0,3.0,Dakar,Wizall,V014,51009.0
2024-05-04,Porte métallique,Construction,82000.0,2.0,Dakar,Orange Money,V013,164000.0
2024-12-16,Riz parfumé 50kg,Alimentation,31774.0,3.0,Dakar,Orange Money,V006,95322.0
2024-03-11,Ciment 50kg,Construction,4132.0,10.0,Kaolack,Free Money,V035,41320.0
2024-11-29,Tissu Bogolan 3 yards,Textile,11780.0,2.0,Dakar,Orange Money,V047,23560.0
2024-11-18,Parfum homme 100ml,Cosmétiques,26188.0,1.0,Thiès,Orange Money,V016,26188.0
2024-03-06,Peinture 25L,Construction,36512.0,5.0,Thiès,Espèces,V003,182560.0
2024-04-24,Boubou brodé homme,Textile,44990.0,3.0,Dakar,Carte bancaire,V049,134970.0
2024-02-23,Lait en poudre 1kg,Alimentation,4326.0,3.0,Kaolack,Orange Money,V009,12978.0
2024-12-01,Gravier 1m³,Construction,25650.0,1.0,Ziguinchor,Wave,V028,25650.0
2024-08-19,Climatiseur 12000 BTU,Électroménager,329369.0,1.0,Dakar,Wave,V017,329369.0
2024-08-12,Bazin riche 5 yards,Textile,35877.0,3.0,Dakar,Wave,V030,107631.0
2024-10-24,Climatiseur 12000 BTU,Électroménager,321222.0,1.0,Thiès,Wave,V014,321222.0
2024-01-27,Tôles ondulées (unité),Construction,11121.0,2.0,Dakar,Wave,V023,22242.0
2024-04-16,Huawei Nova 13,Électronique,173616.0,1.0,Dakar,Wave,V016,173616.0
2024-07-01,Écouteurs Bluetooth,Électronique,15316.0,1.0,Thiès,Wave,V037,15316.0
2024-05-15,Infinix Note 50 Pro,Électronique,148413.0,1.0,Kaolack,Wave,V019,148413.0
2024-12-22,Savon noir Dudu Osun,Cosmétiques,1638.0,1.0,Dakar,Free Money,V050,1638.0
2024-05-16,Clé USB 32GB,Électronique,4787.0,1.0,Dakar,Espèces,V031,4787.0
2024-08-06,Savon noir Dudu Osun,Cosmétiques,1344.0,2.0,Dakar,Wave,V033,2688.0
2024-08-06,Boubou brodé homme,Textile,44845.0,3.0,Dakar,Wizall,V027,134535.0
2024-08-05,Lait en poudre 1kg,Alimentation,4499.0,3.0,Ziguinchor,Orange Money,V032,13497.0
2024-02-25,Infinix Note 50 Pro,Électronique,153292.0,1.0,Dakar,Free Money,V004,153292.0
2024-07-07,Gravier 1m³,Construction,24636.0,5.0,Thiès,Free Money,V048,123180.0
2024-03-10,Voile hijab,Textile,3276.0,1.0,Saint-Louis,Espèces,V049,3276.0
2024-12-05,Samsung Galaxy A25,Électronique,119532.0,1.0,Saint-Louis,Espèces,V026,119532.0
2024-09-04,Dentelle Guipure 5 yards,Textile,22487.0,1.0,Ziguinchor,Orange Money,V015,22487.0
2024-11-27,Fenêtre aluminium,Construction,42978.0,2.0,Saint-Louis,Orange Money,V016,85956.0
2024-11-08,Tissu Bogolan 3 yards,Textile,11638.0,4.0,Dakar,Wave,V004,46552.0
2024-07-06,Dentelle Guipure 5 yards,Textile,22113.0,3.0,Thiès,Orange Money,V045,66339.0
2024-12-06,Écouteurs Bluetooth,Électronique,16725.0,2.0,Kaolack,Orange Money,V002,33450.0
2024-05-22,Briques creuses (unité),Construction,206.0,153.0,Dakar,Free Money,V036,31518.0
2024-01-03,Machine à laver 7kg,Électroménager,190106.0,1.0,Dakar,Wave,V006,190106.0
2024-10-02,Fer à béton 12mm,Construction,501.0,269.0,Kaolack,Wave,V020,134769.0
2024-02-15,Farine blé 50kg,Alimentation,29809.0,1.0,Saint-Louis,Espèces,V003,29809.0
2024-05-30,Café Touba 500g,Alimentation,2446.0,2.0,Dakar,Orange Money,V048,4892.0
2024-08-24,Peinture 25L,Construction,31953.0,3.0,Kaolack,Espèces,V038,95859.0
2024-07-15,Climatiseur 12000 BTU,Électroménager,311294.0,1.0,Dakar,Wave,V010,311294.0
2024-04-30,Mboubou femme,Textile,40490.0,2.0,Ziguinchor,Wave,V015,80980.0
2024-12-30,Clé USB 32GB,Électronique,5338.0,1.0,Kaolack,Orange Money,V043,5338.0
2024-06-05,Sucre cristallisé 50kg,Alimentation,31062.0,4.0,Thiès,Espèces,V040,124248.0
2024-07-15,Fenêtre aluminium,Construction,40905.0,2.0,Dakar,Wave,V011,81810.0
2024-01-30,Micro-ondes 20L,Électroménager,68165.0,1.0,Thiès,Wave,V017,68165.0
2024-11-17,Boubou brodé homme,Textile,51558.0,2.0,Dakar,Wave,V003,103116.0
2024-01-10,Fer à repasser,Électroménager,18882.0,1.0,Thiès,Wave,V013,18882.0
2024-08-21,Briques creuses (unité),Construction,214.0,161.0,Dakar,Wave,V016,34454.0
2024-11-13,Cuisinière 4 feux,Électroménager,189882.0,1.0,Kaolack,Wave,V009,189882.0
2024-02-09,Huawei Nova 13,Électronique,182775.0,2.0,Dakar,Espèces,V040,365550.0
2024-09-28,Tôles ondulées (unité),Construction,11402.0,2.0,Dakar,Free Money,V012,22804.0
2024-09-13,Bazin riche 5 yards,Textile,33712.0,3.0,Thiès,Wave,V006,101136.0
2024-08-01,iPhone 12,Électronique,447105.0,2.0,Dakar,Wave,V040,894210.0
2024-02-22,Riz brisé 50kg,Alimentation,23582.0,3.0,Thiès,Free Money,V044,70746.0
2024-08-13,Écouteurs Bluetooth,Électronique,16412.0,1.0,Saint-Louis,Orange Money,V046,16412.0
2024-02-18,Sable 1m³,Construction,25567.0,1.0,Thiès,Free Money,V025,25567.0
2024-11-14,Gel coiffant 500ml,Cosmétiques,4147.0,1.0,Dakar,Wave,V001,4147.0
2024-06-28,Peinture 25L,Construction,32086.0,2.0,Thiès,Orange Money,V001,64172.0
2024-09-20,Thé Lipton 200g,Alimentation,1915.0,3.0,Thiès,Espèces,V030,5745.0
2024-09-21,Huile végétale 5L,Alimentation,5479.0,1.0,Dakar,Carte bancaire,V013,5479.0
2024-11-03,Boubou brodé homme,Textile,41424.0,1.0,Thiès,Wave,V012,41424.0
2024-10-22,Mboubou femme,Textile,43017.0,1.0,Dakar,Orange Money,V003,43017.0
2024-10-10,Tissu Wax 6 yards,Textile,18621.0,1.0,Ziguinchor,Wave,V027,18621.0
2024-04-23,iPhone 12,Électronique,448362.0,1.0,Thiès,Espèces,V027,448362.0
2024-04-25,Tecno Spark 40 5G,Électronique,86932.0,1.0,Kaolack,Espèces,V010,86932.0
2024-08-30,Sarouel coton,Textile,11396.0,2.0,Kaolack,Free Money,V047,22792.0
2024-08-24,Gravier 1m³,Construction,26833.0,1.0,Dakar,Free Money,V040,26833.0
2024-09-28,Sucre cristallisé 50kg,Alimentation,31123.0,1.0,Dakar,Wave,V044,31123.0
2024-03-17,Huile d'argan 100ml,Cosmétiques,10986.0,2.0,Thiès,Wave,V026,21972.0
2024-05-19,Réfrigérateur 180L,Électroménager,269303.0,1.0,Kaolack,Orange Money,V018,269303.0
2024-10-14,Moussor femme,Textile,13482.0,1.0,Saint-Louis,Espèces,V044,13482.0
2024-09-19,Infinix Note 50 Pro,Électronique,161315.0,1.0,Saint-Louis,Wave,V021,161315.0
2024-07-23,Gel coiffant 500ml,Cosmétiques,4815.0,1.0,Ziguinchor,Espèces,V044,4815.0
2024-06-06,Climatiseur 12000 BTU,Électroménager,300186.0,1.0,Ziguinchor,Orange Money,V047,300186.0
2024-10-30,Fenêtre aluminium,Construction,42786.0,3.0,Kaolack,Orange Money,V005,128358.0
2024-08-01,Huile végétale 5L,Alimentation,5262.0,3.0,Saint-Louis,Espèces,V022,15786.0
2024-02-22,iPhone 12,Électronique,445694.0,1.0,Thiès,Espèces,V048,445694.0
2024-07-21,Huile d'argan 100ml,Cosmétiques,12799.0,2.0,Dakar,Orange Money,V004,25598.0
2024-01-12,Chargeur rapide,Électronique,8133.0,1.0,Saint-Louis,Orange Money,V020,8133.0
2024-01-25,Climatiseur 12000 BTU,Électroménager,298331.0,1.0,Dakar,Orange Money,V021,298331.0
2024-06-14,Moussor femme,Textile,15545.0,1.0,Dakar,Free Money,V004,15545.0
2024-07-24,Machine à laver 7kg,Électroménager,188259.0,1.0,Dakar,Wave,V015,188259.0
2024-08-23,Gel coiffant 500ml,Cosmétiques,4673.0,1.0,Thiès,Free Money,V031,4673.0
2024-10-06,Gel coiffant 500ml,Cosmétiques,4209.0,1.0,Ziguinchor,Orange Money,V006,4209.0
2024-03-16,"Téléviseur LED 32""",Électronique,124095.0,1.0,Ziguinchor,Espèces,V032,124095.0
2024-07-16,Bazin riche 5 yards,Textile,34588.0,1.0,Thiès,Wave,V041,34588.0
2024-11-18,Ventilateur sur pied,Électroménager,38199.0,1.0,Dakar,Carte bancaire,V020,38199.0
2024-02-16,Dentelle Guipure 5 yards,Textile,26953.0,2.0,Thiès,Wave,V027,53906.0
2024-06-19,Parfum homme 100ml,Cosmétiques,32963.0,2.0,Thiès,Orange Money,V008,65926.0
2024-12-26,Fenêtre aluminium,Construction,43970.0,2.0,Thiès,Orange Money,V050,87940.0
2024-04-26,Fenêtre aluminium,Construction,48882.0,5.0,Dakar,Free Money,V038,244410.0
2024-12-06,Parfum homme 100ml,Cosmétiques,32838.0,3.0,Kaolack,Wave,V049,98514.0
2024-09-01,Tissu Wax 6 yards,Textile,19094.0,3.0,Thiès,Espèces,V041,57282.0
